Number,Name,PROVINCE,LAT,LON
63,Queen Melon,สมุทรสาคร,13.57392,100.095044
64,Bang Wa Melon บางหว้าเมล่อน สาขา 2,กรุงเทพมหานคร,13.692931,100.419673
65,Papa Sam ฟาร์มเมล่อน,พระนครศรีอยุธยา,14.156259,100.550351
66,ลูกอ้อฟาร์ม เมล่อน,พระนครศรีอยุธยา,14.138459,100.474961
67,ซันซายน์เมล่อนฟาร์ม,พระนครศรีอยุธยา,14.18045,100.477964
68,ตังส์ เม(ล่อน) ฟาร์ม,นครนายก,14.083254,101.063203
69,ป้าเพ็ญฟาร์มเม่ล่อนญี่ปุ่น ,นครนายก,14.239439,101.181886
70,วาสนาฟาร์มเมล่อน,สระบุรี,14.379062,100.784473
71,ต้นน้ำ เมล่อนฟาร์ม,พระนครศรีอยุธยา,14.283734,100.64044
72,ไร่แสนรักเมล่อนฟาร์ม สุพรรณบุรี,สุพรรณบุรี,14.219324,99.896478
