Number,Name,PROVINCE,LAT,LON
1,NIGHT MELON l ไนท์เมล่อน,กรุงเทพมหานคร,13.807264,100.616063
2,ใบพลูเมล่อน,กรุงเทพมหานคร,13.896911,100.70809
3,สวนเมล่อนบ้านโกหน่อง,กรุงเทพมหานคร,13.862797,100.714892
4,ICHIKUN Melon อิจิคุงเมล่อน,กรุงเทพมหานคร,13.860371,100.707547
5,Bang Wa Melon • บางหว้าเมล่อน,กรุงเทพมหานคร,13.730599,100.450181
6,แสงตะวันฟาร์ม เมล่อนสาย4,กรุงเทพมหานคร,13.745634,100.33791
7,เมล่อน สามพราน Melon Samphran,นครปฐม,13.775608,100.308158
8,เมล่อน B&B Farm,นครปฐม,13.795426,100.280835
9,เมล่อนดาดฟ้า by nopsan168,นครปฐม,13.79144,100.282671
10,Mina me melon มีนามีเมล่อน,นครปฐม,13.808639,100.102542
11,พงษ์ลัดดาเมล่อนฟาร์ม,นครปฐม,13.727104,100.238574
12,ณมณฑ์ เมล่อน ฟาร์ม สามพราน,นครปฐม,13.694765,100.201304
13,I am MELON farm,นครปฐม,13.748587,100.21399
14,มาลีเมล่อนฟาร์ม,นครปฐม,13.707231,100.220987
15,Arma Farmstay,นครปฐม,13.789008,100.217556
16,ฟาร์มเบอร์ดี้เมล่อน,สมุทรสาคร,13.670914,100.236077
17,เมล่อนบ้านเกาะฟาร์ม,สมุทรสาคร,13.571551,100.213918
18,ศศิพิมพ์เมล่อนฟาร์ม,สมุทรสาคร,13.532287,100.289751
19,เมล่อนฟาร์ม เพชรหึงษ์33,สมุทรปราการ,13.686281,100.566319
20,นิรันดร์ ฟาร์มเมล่อน,นนทบุรี,13.975982,100.440139
21,สวนเมล่อน อนุรักษ์,นนทบุรี,13.980969,100.356196
22,ฟาร์มเมล่อนคุณแชมป์,ปทุมธานี,14.034262,100.357658
23,เอ็ม เมล่อน ฟาร์ม รังสิตคลอง3,ปทุมธานี,14.048877,100.653633
24,ฟาร์มลุงแดง เมล่อน&ผักสลัด,ปทุมธานี,14.156954,100.745661
25,บ้านสวน เมล่อน อ.บ้านโพธิ์,ฉะเชิงเทรา,13.623677,101.088962
26,ศิริโสธรเมล่อนฟาร์ม,ฉะเชิงเทรา,13.670353,101.070098
27,บ้านเสือเมล่อนฟาร์ม,ฉะเชิงเทรา,13.697428,101.047692
28,สวนปิยภรณ์ เฮ้าเมล่อน,ฉะเชิงเทรา,13.687427,101.13312
29,Melon Hausu Farm メロンハウス ,ฉะเชิงเทรา,13.825607,101.217093
30,บ้านนี้มีรักฟาร์มสุขสำราญ,ฉะเชิงเทรา,13.825699,101.216706
31,บ้านเมล่อน Baan Melon,ฉะเชิงเทรา,13.746713,101.479752
32,Alin Melon Farm,กรุงเทพมหานคร,13.913487,100.679224
33,ไร่เหมือนจันทร์,กรุงเทพมหานคร,13.738425,100.359407
34,Cheaw47 Farm Melon,กรุงเทพมหานคร,13.740228,100.828196
35,Pop Farm Melon & Hydro,สมุทรสาคร,13.514519,100.30722
36,เอิร์น & เอม Melon Farm,สมุทรสาคร,13.515505,100.245797
37,TAIYO MELON FARM,นครปฐม,13.756906,100.301787
38,Heart Fram Sweet Melon Samphram,นครปฐม,13.749019,100.252782
39,PPP Farm Melon Nakornchaisri,นครปฐม,13.804473,100.173517
40,Chanun Farm : ชนัญฟาร์ม,กรุงเทพมหานคร,13.799799,100.421035
41,SS Melon Farm Salaya,กรุงเทพมหานคร,13.784387,100.343856
42,KUBORO MELON FARM,กรุงเทพมหานคร,13.775454,100.443143
43,Melon Everyday Farm of Love,กรุงเทพมหานคร,13.796368,100.406932
44,Melon man farm & cafe,นนทบุรี,13.856843,100.468659
45,Fairyfair Farm Melon ,นนทบุรี,13.900569,100.343943
46,Japanese Melon the best at Klongyong Salaya,นครปฐม,13.843975,100.288138
47,แม่กลองเมล่อนฟาร์ม,สมุทรสงคราม,13.471029,99.903014
48,K&K MELON FARM (เก้า&กฤต เมล่อนฟาร์ม),นนทบุรี,13.846822,100.444209
49,171เมล่อนฟาร์ม,นครปฐม,13.911718,100.145357
50,Sun Melon Farm,นครปฐม,13.934586,100.003897
51,อัจฉรา รีสอร์ท,นครปฐม,13.976119,100.197519
52,JTA FARM MELON,นครปฐม,13.905839,99.937611
53,DAY ONE farm & cuisine,สมุทรปราการ,13.648348,100.544683
54,ครัวบ้านคุณยาย,ปทุมธานี,13.948491,100.653943
55,Okane farm,กรุงเทพมหานคร,13.659713,100.371373
56,เมล่อนเพิ่มสิน,กรุงเทพมหานคร,13.902776,100.641833
57,farmily a cafe in farm,นนทบุรี,13.919706,100.446094
58,Say Hay Cafe Cuisine,นครปฐม,13.784074,100.233194
59,เมล่อนคลองบางไผ่-พืชผักสวนครัว,นนทบุรี,13.92403,100.34764
60,โรงเรียนวัดรางบัว,กรุงเทพมหานคร,13.7101,100.439265
